ordinal_date,larva_per_m2_branch
134,219.58
136,330.15
141,366.78
143,214.33
147,378.93
149,314.76
153,285.8
155,364.86
157,318.42
160,293.42
161,209.32
162,201.36
163,293.43
164,276.88
167,263.91
168,237.01
169,250.17
170,202.32
171,276.74
174,167.35
175,162.4
176,272.94
177,171.8
178,175.24
181,135.9
182,132.79
183,135.99
184,169.3
185,116.3
188,144.86
189,100.15
190,123.68
191,98.79
192,73.03
195,99.28
196,95.92
197,89.89
198,116.93
199,135.79
202,103.01
203,64.08
204,66.58
